statelgdcode,districtlgdcode,year,state,district,sdyid,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,gdp,beds,tap,child_marriage,nitrate,lyi_kharif_cash,lyi_kharif_cereal,lyi_kharif_coarse,lyi_kharif_hort,lyi_kharif_oilseed,lyi_kharif_pulse,lyi_rabi_cash,lyi_rabi_cereal,lyi_rabi_coarse,lyi_rabi_hort,lyi_rabi_oilseed,lyi_rabi_pulse,lyi_summer_cash,lyi_summer_cereal,lyi_summer_coarse,lyi_summer_hort,lyi_summer_oilseed,lyi_summer_pulse,lyi_wholeyear_cash,lyi_wholeyear_cereal,lyi_wholeyear_coarse,lyi_wholeyear_hort,lyi_wholeyear_oilseed,lyi_wholeyear_pulse,yi_kharif_cash_lag1,yi_kharif_cereal_lag1,yi_kharif_coarse_lag1,yi_kharif_hort_lag1,yi_kharif_oilseed_lag1,yi_kharif_pulse_lag1,yi_rabi_cash_lag1,yi_rabi_cereal_lag1,yi_rabi_coarse_lag1,yi_rabi_hort_lag1,yi_rabi_oilseed_lag1,yi_rabi_pulse_lag1,yi_summer_cash_lag1,yi_summer_cereal_lag1,yi_summer_coarse_lag1,yi_summer_hort_lag1,yi_summer_oilseed_lag1,yi_summer_pulse_lag1,yi_wholeyear_cash_lag1,yi_wholeyear_cereal_lag1,yi_wholeyear_coarse_lag1,yi_wholeyear_hort_lag1,yi_wholeyear_oilseed_lag1,yi_wholeyear_pulse_lag1,yidev_kharif_cash,yidev_kharif_cereal,yidev_kharif_coarse,yidev_kharif_hort,yidev_kharif_oilseed,yidev_kharif_pulse,yidev_rabi_cash,yidev_rabi_cereal,yidev_rabi_coarse,yidev_rabi_hort,yidev_rabi_oilseed,yidev_rabi_pulse,yidev_summer_cash,yidev_summer_cereal,yidev_summer_coarse,yidev_summer_hort,yidev_summer_oilseed,yidev_summer_pulse,yidev_wholeyear_cash,yidev_wholeyear_cereal,yidev_wholeyear_coarse,yidev_wholeyear_hort,yidev_wholeyear_oilseed,yidev_wholeyear_pulse,yi_kharif_cash,yi_kharif_cereal,yi_kharif_coarse,yi_kharif_hort,yi_kharif_oilseed,yi_kharif_pulse,yi_rabi_cash,yi_rabi_cereal,yi_rabi_coarse,yi_rabi_hort,yi_rabi_oilseed,yi_rabi_pulse,yi_summer_cash,yi_summer_cereal,yi_summer_coarse,yi_summer_hort,yi_summer_oilseed,yi_summer_pulse,yi_wholeyear_cash,yi_wholeyear_cereal,yi_wholeyear_coarse,yi_wholeyear_hort,yi_wholeyear_oilseed,yi_wholeyear_pulse,yigr_kharif_cash,yigr_kharif_cereal,yigr_kharif_coarse,yigr_kharif_hort,yigr_kharif_oilseed,yigr_kharif_pulse,yigr_rabi_cash,yigr_rabi_cereal,yigr_rabi_coarse,yigr_rabi_hort,yigr_rabi_oilseed,yigr_rabi_pulse,yigr_summer_cash,yigr_summer_cereal,yigr_summer_coarse,yigr_summer_hort,yigr_summer_oilseed,yigr_summer_pulse,yigr_wholeyear_cash,yigr_wholeyear_cereal,yigr_wholeyear_coarse,yigr_wholeyear_hort,yigr_wholeyear_oilseed,yigr_wholeyear_pulse,lyi_kharif_all,yidev_kharif_all,lyi_rabi_all,yidev_rabi_all,lyi_wholeyear_all,yidev_wholeyear_all,lyi_summer_all,yidev_summer_all,area_total,share_foodgrain_area,n_categories,hhi_area,census_state,census_district,pop_2011,lit_rate,f_lit_rate,sc_st_share,agri_worker_share,urban_share,nfhs_women_literate,nfhs_married_before18,nfhs_anc4_visits,nfhs_ifa_100days,nfhs_institutional_births,nfhs_women_bmi_low,nfhs_pregnant_anaemic,nfhs_women_anaemic,rain_annual,rain_jjas,rain_annual_anom,rain_jjas_anom,rain_jjas_anom_lag1,state_pop_2011,zone,female_pct,log_gdp,log_beds,log_tap,gdp_pc,log_gdp_pc,beds_per_lakh,child_marriage_per_mn,nitrate_missing
1,1,2011,Jammu And Kashmir,Anantnag,Jammu And KashmirAnantnag2011,29714,18872,15902,14436,10545,10537,3570,987,694,293,14435,42.6,14520,15507,93.6,98.1,6.4,11643,4975,75.1,32.1,14976,96.6,632,96,15063,1530,10.2,13100,87.5,954,0,100,14941,0,18.6,68.1,13.3,13,7.7,15.4,15.4,23.1,38.5,0,0,0,7825555,7995,47.07,0,0.05,,0.6749277094,,1.2218362,,-0.6370691612,,,,1.36888189,-0.2317696494,-0.3457458843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04785605551,,-0.06415830592,,0.3636266387,,,,-0.4119890702,0.1416895803,0.008976817451,,,,,,,,,,,,,,1.963891,,3.393413,,0.5288401,,,,3.930953,0.7931288,0.7076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6342069734,0.0577409732,-0.2236743712,0.1387531215,,,,,55295,0.700153721,4,0.5458858635,1,14,1078692,62.69373008,52.19099996,10.92360006,55.76852013,26.22500213,65.3,4.5,82.5,11.7,91.2,8.8,,26.8,887.6,357.3,-1.560457038,-1.327906563,-0.2952415439,12541302,north,48.82292733,15.87290522,8.986571625,3.851635855,62398.26614,11.04129277,63.74936191,0,0
1,1,2012,Jammu And Kashmir,Anantnag,Jammu And KashmirAnantnag2012,26297,20204,15641,12998,11277,15852,3482,355,198,157,15883,74.5,15883,16238,97.8,99,2.2,15489,5980,95.4,36.8,15807,97.3,606,96.3,15806,1569,9.9,15785,99.9,938,0,100,13666,0,0.5,96.3,3.1,19,47.4,31.6,5.3,0,0,0,0,15.8,8076657,7995,47.07,0,0.775,,0.6985112681,,1.395910478,,-0.6370691612,,,,1.367972792,-0.314959954,-0.3457458843,,,,,,,,,,,,,,1.963891,,3.393413,,0.5288401,,,,3.930953,0.7931288,0.7076923,,,,,,,,,,,,,,0.07143961418,,0.1099159722,,0.3636266387,,,,-0.4128981688,0.05849927566,0.008976817451,,,,,,,,,,,,,,2.010757,,4.03865,,0.5288401,,,,3.927381,0.7298181,0.7076923,,,,,,,,,,,,,,0.02358355867,,0.1740742781,,0,,,,-0.0009090986069,-0.08319030462,0,,,,,,,,,,,,,0.657586926,0.08119395072,-0.3063780635,0.05604942924,,,,,55291,0.7002043732,4,0.5459641984,1,14,1078692,62.69373008,52.19099996,10.92360006,55.76852013,26.22500213,65.3,4.5,82.5,11.7,91.2,8.8,,26.8,1034.7,523,-0.9881294291,-0.2946179539,-1.327906563,12541302,north,48.4004128,15.90448861,8.986571625,3.851635855,64400.46655,11.07287616,63.74936191,0,0
1,1,2013,Jammu And Kashmir,Anantnag,Jammu And KashmirAnantnag2013,27664,22977,18914,12823,2431,12734,395,173,84,89,16328,71.8,16716,16889,99,99.5,1,13836,7634,81.9,45.2,16512,97.8,579,96.6,16512,1513,9.2,16511,100,976,0.4,99.6,14087,0,0,100,0,31,29,22.6,9.7,0,0,0,0,38.7,8511550,7995,47.07,0,1.25,,,,,,,,,,1.367972792,-0.314959954,-0.3457458843,,,,,,,,,,,,,,,,,,,,,,3.927381,0.7298181,0.7076923,,,,,,,,,,,,,,,,,,,,,,-0.4128981688,0.05849927566,0.008976817451,,,,,,,,,,,,,,,,,,,,,,3.927381,0.7298181,0.7076923,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,-0.3063780635,0.05604942924,,,,,16426,0.0007914282235,3,0.9882511057,1,14,1078692,62.69373008,52.19099996,10.92360006,55.76852013,26.22500213,65.3,4.5,82.5,11.7,91.2,8.8,,26.8,859.3,465.9,-1.670564932,-0.6506878367,-0.2946179539,12541302,north,49.39271255,15.95693462,8.986571625,3.851635855,67868.15276,11.12532217,63.74936191,0,0
1,1,2014,Jammu And Kashmir,Anantnag,Jammu And KashmirAnantnag2014,26630,22456,22337,12917,10161,7880,94,119,117,2,15593,67.1,15980,16099,99.3,100,0.7,15992,7989,99.3,49.6,15715,97.6,561,96.6,15715,1550,9.9,15705,99.9,985,0.5,99.5,14877,0,2.5,97.5,0,39,42.1,2.6,2.6,2.6,0,0,0,50,8237211,7995,47.07,0,,,-0.07249381407,,0.674299677,,-2.492628789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.699565468,,-0.6116948285,,-1.491932989,,,,,,,,,,,,,,,,,,,,0.9300715,,1.962658,,0.0826923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07292910004,-0.7010796456,,,,,,,36085,0.9912428987,3,0.9769420934,1,14,1078692,62.69373008,52.19099996,10.92360006,55.76852013,26.22500213,65.3,4.5,82.5,11.7,91.2,8.8,,26.8,1093.5,623.2,-0.7593540152,0.3302192135,-0.6506878367,12541302,north,49.62216625,15.92417237,8.986571625,3.851635855,65680.66856,11.09255992,63.74936191,0,1
1,1,2015,Jammu And Kashmir,Anantnag,Jammu And KashmirAnantnag2015,28227,25436,22866,14121,6665,18502,461,111,108,3,15023,46.8,15373,15484,99.3,100,0.7,15409,10348,99.5,66.8,15179,98,461,97.1,15176,1277,8.4,15177,100,1000,0,100,15223,0,0.1,99.9,0,40,65.7,8.6,14.3,0,0,0,0,11.4,9700134,7995,47.07,0,0.2,,0.9286693991,,1.651642822,,-0.6196108861,,,,2.235639303,-0.2297603944,-0.367724769,,,,,,,,,,,,,,0.9300715,,1.962658,,0.0826923,,,,,,,,,,,,,,,,,,,,0.3015977452,,0.3656483168,,0.3810849139,,,,0.454768343,0.1436988352,-0.01300206729,,,,,,,,,,,,,,2.531139,,5.215541,,0.5381538,,,,9.352459,0.794724,0.6923077,,,,,,,,,,,,,,1.001163213,,0.9773431453,,1.873017903,,,,,,,,,,,,,,,,,,,0.917484829,0.3025946346,-0.2191357809,0.1449099126,,,,,49409,0.7142018661,4,0.5797048995,1,14,1078692,62.69373008,52.19099996,10.92360006,55.76852013,26.22500213,65.3,4.5,82.5,11.7,91.2,8.8,,26.8,1572.9,614,1.105865941,0.2728489346,0.3302192135,12541302,north,50,16.08765026,8.986571625,3.851635855,77345.51006,11.25603781,63.74936191,0,0
1,1,2016,Jammu And Kashmir,Anantnag,Jammu And KashmirAnantnag2016,27190,25582,26770,21106,12046,24124,191,8,5,3,15048,11.8,15335,15343,99.9,100,0.1,15315,14816,99.8,96.6,15087,98.3,403,97.4,15072,984,6.5,15072,99.9,976,1.4,98.6,16157,0,0.7,99.3,0,56,25.5,7.3,9.1,1.8,0,3.6,0,52.7,10019868,7995,47.07,0,0.5,,0.905743707,,1.486283351,,-0.6171010022,,,,2.563888025,-0.7758461964,-0.3686510868,,,,,,,,,,,,,,2.531139,,5.215541,,0.5381538,,,,9.352459,0.794724,0.6923077,,,,,,,,,,,,,,0.2786720531,,0.2002888454,,0.3835947977,,,,0.7830170649,-0.4023869668,-0.01392838507,,,,,,,,,,,,,,2.473771,,4.420635,,0.5395062,,,,12.98621,0.4603141,0.6916667,,,,,,,,,,,,,,-0.02292569202,,-0.1653594714,,0.002509883841,,,,0.3282487218,-0.546085802,-0.0009263177785,,,,,,,,,,,,,0.8936200718,0.279367838,-0.7685703162,-0.3995951324,,,,,48647,0.710218513,4,0.5768419288,1,14,1078692,62.69373008,52.19099996,10.92360006,55.76852013,26.22500213,65.3,4.5,82.5,11.7,91.2,8.8,,26.8,902.9,482.8,-1.500928741,-0.5453011288,0.2728489346,12541302,north,49.39271255,16.12008048,8.986571625,3.851635855,79894.95827,11.28846803,63.74936191,0,0
1,2,2014,Jammu And Kashmir,Budgam,Jammu And KashmirBudgam2014,14067,12759,11980,12908,10041,6653,88,33,3,30,3979,70.2,3979,4012,99.2,99.3,0.8,3576,2857,89.1,71.2,4006,99.9,16,99.6,3899,11,0.3,3443,85.9,972,0.9,99.1,13375,0,0,100,0,1,0,0,0,0,0,0,0,100,8237211,7995,23.86,0,,,0.0054003916,,1.060251499,,-4.699425922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5433818756,,0.2366941113,,-2.825682937,,,,,,,,,,,,,,,,,,,,1.005415,,2.887097,,0.0091005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1104510451,-0.5993627693,,,,,,,38095,0.9991862449,3,0.9500320923,1,2,753745,56.07767529,44.84506805,3.221248565,42.78434001,12.99006959,57.6,2.8,95.7,19.7,97.1,10.9,38.8,53.6,1093.5,623.2,-0.7593540152,0.3302192135,-0.6506878367,12541302,north,49.29006085,15.92417237,8.986571625,3.172203417,65680.66856,11.09255992,63.74936191,0,1
1,2,2015,Jammu And Kashmir,Budgam,Jammu And KashmirBudgam2015,14129,13287,11782,13345,2544,6343,85,21,4,17,3920,69.5,3920,3941,99.5,99.6,0.5,3971,3739,100.8,94.9,3936,99.9,10,99.7,3928,23,0.6,3315,84.2,988,2.8,97.2,13061,0,0,100,0,11,9.1,18.2,18.2,27.3,0,9.1,0,18.2,9700134,7995,23.86,0,0.2,,0.793133682,,1.250790453,,-0.4753912364,,-0.313657601,,2.154887895,-0.4402842185,0.1670539308,,,,,,,,,,,,,,1.005415,,2.887097,,0.0091005,,,,,,,,,,,,,,,,,,,,0.2443514149,,0.4272330652,,1.398351749,,,,,,,,,,,,,,,,,,,,2.210312,,3.493103,,0.6216418,,0.7307692,,8.626923,0.6438534,1.181818,,,,,,,,,,,,,,0.7877332904,,0.1905389539,,4.224034686,,,,,,,,,,,,,,,,,,,0.775368015,0.2612630655,-0.1981649806,,,,,,53302,0.8833064425,4,0.7672659835,1,2,753745,56.07767529,44.84506805,3.221248565,42.78434001,12.99006959,57.6,2.8,95.7,19.7,97.1,10.9,38.8,53.6,1572.9,614,1.105865941,0.2728489346,0.3302192135,12541302,north,49.69818913,16.08765026,8.986571625,3.172203417,77345.51006,11.25603781,63.74936191,0,0
1,2,2016,Jammu And Kashmir,Budgam,Jammu And KashmirBudgam2016,13114,12394,13093,12721,5274,6896,55,5,0,5,4839,13.9,4839,4844,99.9,99.9,0.1,4844,4803,100,99.2,4846,100,7,99.9,4846,59,1.2,4434,91.5,968,8.8,91.2,13101,,,,,16,6.7,6.7,6.7,0,0,0,0,80,10019868,7995,23.86,0,0.5,,0.8478127278,,0.1596302112,,-0.4464117979,,-0.377074901,,2.565897369,-0.53334939,0.1666316108,,,,,,,,,,,,,,2.210312,,3.493103,,0.6216418,,0.7307692,,8.626923,0.6438534,1.181818,,,,,,,,,,,,,,0.2990304607,,-0.6639271765,,1.427331187,,,,,,,,,,,,,,,,,,,,2.334535,,1.173077,,0.6399202,,0.6858647,,13.01233,0.5866368,1.181319,,,,,,,,,,,,,,0.05467904578,,-1.091160242,,0.02897943847,,-0.06341730007,,0.4110094749,-0.09306517146,-0.0004223199987,,,,,,,,,,,,,0.827234599,0.3157154036,-0.3458573693,,,,,,38951,0.9134040204,4,0.8134926263,1,2,753745,56.07767529,44.84506805,3.221248565,42.78434001,12.99006959,57.6,2.8,95.7,19.7,97.1,10.9,38.8,53.6,902.9,482.8,-1.500928741,-0.5453011288,0.2728489346,12541302,north,49.18699187,16.12008048,8.986571625,3.172203417,79894.95827,11.28846803,63.74936191,0,0
1,3,2011,Jammu And Kashmir,Baramulla,Jammu And KashmirBaramulla2011,31443,15527,16178,17174,9115,16451,3353,750,113,637,9702,71.1,10051,10801,93.1,94.1,6.9,8358,2942,77.4,27.2,9963,92.2,150,98.5,8334,767,9.2,8195,82.3,988,1.8,98.2,19210,0,12,86.8,0.3,3,33.3,0,33.3,33.3,0,0,0,0,7825555,7995,43.97,0,0.05,,0.5350279699,-0.8458893528,1.356693806,,-0.7396092169,,0.3184537311,,,0.2988897808,-0.3270431901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04747592247,0.05974794213,0.1020130273,,-0.09360164465,,,,,0.1041297625,-0.0744344778,,,,,,,,,,,,,,1.707496,0.4291755,3.883333,,0.4773004,,1.375,,,1.348361,0.7210526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4513022781,-0.04884851264,0.2606976451,0.09122968429,,,,,45595,0.9945169426,5,0.8673014585,1,8,1008039,64.63261953,52.38158803,3.886853584,39.3625904,18.10445826,66.9,3.6,95.2,31,93.8,14.4,,44.9,887.6,357.3,-1.560457038,-1.327906563,-0.2952415439,12541302,north,49.69818913,15.87290522,8.986571625,3.783507583,62398.26614,11.04129277,63.74936191,0,0
